outs,base_runners,run_expectancy
0,OOO,0.5353931593794076
0,OOX,1.4169611307420495
0,OXO,1.1891891891891893
0,OXX,2.1205298013245035
0,XOO,0.9384494499738083
0,XOX,1.8333333333333333
0,XXO,1.521061946902655
0,XXX,2.366871165644172
1,OOO,0.28390647347801756
1,OOX,0.9890424011434016
1,OXO,0.7350843060959793
1,OXX,1.4460036607687614
1,XOO,0.5471980821096794
1,XOX,1.2142550450837268
1,XXO,0.9286397551176583
1,XXX,1.6227296315516346
2,OOO,0.10895740397141843
2,OOX,0.4025548640681297
2,OXO,0.3573601375479434
2,OXX,0.642272262026612
2,XOO,0.24439596810591244
2,XOX,0.5217812197483059
2,XXO,0.46925363792833674
2,XXX,0.7945087945087945
