"year","coachID","award","lgID","note"
"1962","gallaha01","NBA Coach of the Year","NBA",
"1963","hannual01","NBA Coach of the Year","NBA",
"1964","auerbre01","NBA Coach of the Year","NBA",
"1965","schaydo01","NBA Coach of the Year","NBA",
"1966","kerrjo01","NBA Coach of the Year","NBA",
"1967","cazzevi01","ABA Coach of the Year","ABA",
"1967","gueriri01","NBA Coach of the Year","NBA",
"1968","hannual01","ABA Coach of the Year","ABA",
"1968","shuege01","NBA Coach of the Year","NBA",
"1969","sharmbi01","ABA Coach of the Year","ABA","tie"
"1969","belmojo01","ABA Coach of the Year","ABA","tie"
"1969","holzmre01","NBA Coach of the Year","NBA",
"1970","biancal01","ABA Coach of the Year","ABA",
"1970","mottadi01","NBA Coach of the Year","NBA",
"1971","nissato01","ABA Coach of the Year","ABA",
"1971","sharmbi01","NBA Coach of the Year","NBA",
"1972","brownla01","ABA Coach of the Year","ABA",
"1972","heinsto01","NBA Coach of the Year","NBA",
"1973","mccarba01","ABA Coach of the Year","ABA","tie"
"1973","mullajo01","ABA Coach of the Year","ABA","tie"
"1973","scottra01","NBA Coach of the Year","NBA",
"1974","brownla01","ABA Coach of the Year","ABA",
"1974","johnsph01","NBA Coach of the Year","NBA",
"1975","brownla01","ABA Coach of the Year","ABA",
"1975","fitchbi01","NBA Coach of the Year","NBA",
"1976","nissato01","NBA Coach of the Year","NBA",
"1977","brownhu01","NBA Coach of the Year","NBA",
"1978","fitzsco01","NBA Coach of the Year","NBA",
"1979","fitchbi01","NBA Coach of the Year","NBA",
"1980","mckinja01","NBA Coach of the Year","NBA",
"1981","shuege01","NBA Coach of the Year","NBA",
"1982","nelsodo01","NBA Coach of the Year","NBA",
"1983","laydefr01","NBA Coach of the Year","NBA",
"1984","nelsodo01","NBA Coach of the Year","NBA",
"1985","fratemi01","NBA Coach of the Year","NBA",
"1986","schulmi01","NBA Coach of the Year","NBA",
"1987","moedo01","NBA Coach of the Year","NBA",
"1988","fitzsco01","NBA Coach of the Year","NBA",
"1989","rileypa01","NBA Coach of the Year","NBA",
"1990","chanedo01","NBA Coach of the Year","NBA",
"1991","nelsodo01","NBA Coach of the Year","NBA",
"1992","rileypa01","NBA Coach of the Year","NBA",
"1993","wilkele01","NBA Coach of the Year","NBA",
"1994","harride01","NBA Coach of the Year","NBA",
"1995","jacksph01","NBA Coach of the Year","NBA",
"1996","rileypa01","NBA Coach of the Year","NBA",
"1997","birdla01","NBA Coach of the Year","NBA",
"1998","dunlemi01","NBA Coach of the Year","NBA",
"1999","riverdo01","NBA Coach of the Year","NBA",
"2000","brownla01","NBA Coach of the Year","NBA",
"2001","carliri01","NBA Coach of the Year","NBA",
"2002","popovgr01","NBA Coach of the Year","NBA",
"2003","brownhu01","NBA Coach of the Year","NBA",
"2004","dantomi01","NBA Coach of the Year","NBA",
"2005","johnsav01","NBA Coach of the Year","NBA",
"2006","mitchsa01","NBA Coach of the Year","NBA",
"2007","scottby01","NBA Coach of the Year","NBA",
"2008","brownmi02","NBA Coach of the Year","NBA",
"2009","brooksc01","NBA Coach of the Year","NBA",
"2010","thiboto01","NBA Coach of the Year","NBA",
"2011","popovgr01","NBA Coach of the Year","NBA",
