SportVU_Team_ID,Team_ID,Conference,City,Team
1,1610612737,East,Atlanta,Hawks
2,1610612738,East,Boston,Celtics
3,1610612740,West,New Orleans,Pelicans
4,1610612741,East,Chicago,Bulls
5,1610612739,East,Cleveland,Cavaliers
6,1610612742,West,Dallas,Mavericks
7,1610612743,West,Denver,Nuggets
8,1610612765,East,Detroit,Pistons
9,1610612744,West,Golden State,Warriors
10,1610612745,West,Houston,Rockets
11,1610612754,East,Indiana,Pacers
12,1610612746,West,LA Clippers,Clippers
13,1610612747,West,L.A. Lakers,Lakers
14,1610612748,East,Miami,Heat
15,1610612749,East,Milwaukee,Bucks
16,1610612750,West,Minnesota,Timberwolves
17,1610612751,East,Brooklyn,Nets
18,1610612752,East,New York,Knicks
19,1610612753,East,Orlando,Magic
20,1610612755,East,Philadelphia,76ers
21,1610612756,West,Phoenix,Suns
22,1610612757,West,Portland,Trail Blazers
23,1610612758,West,Sacramento,Kings
24,1610612759,West,San Antonio,Spurs
25,1610612760,West,Oklahoma City,Thunder
26,1610612762,West,Utah,Jazz
27,1610612764,East,Washington,Wizards
28,1610612761,East,Toronto,Raptors
29,1610612763,West,Memphis,Grizzlies
30,1610612766,East,Charlotte,Hornets
