From All Teams,From Played Teams,Correct Link
abilenechristian,abilene-christian,abilene-christian
air-force,air-force,air-force
akron,akron,akron
alabama,alabama,alabama
alabamaam,alabama-am,alabama-am
alabamast,alabama-st,alabama-st
albanyny,albany,albany-ny
alcornst,alcorn-st,alcorn-st
appalachian-st,appalachian-st,appalachian-st
arizona,arizona,arizona
arizona-st,arizona-st,arizona-st
arkansas,arkansas,arkansas
arkansas-st,arkansas-st,arkansas-st
army,army,army
auburn,auburn,auburn
austinpeay,austin-peay,austin-peay
ball-st,ball-st,ball-st
baylor,baylor,baylor
bethunecookman,bethune-cookman,bethune-cookman
boise-st,boise-st,boise-st
boston-college,boston-college,boston-college
bowling-green,bowling-green-st,bowling-green
byu,brigham-young,byu
buffalo,buffalo,buffalo
calpoly,cal-poly,cal-poly
california,california,california
uc-davis,california-davis,uc-davis
centralark,central-arkansas,central-ark
ucf,central-florida,ucf
central-mich,central-michigan,central-mich
charlestonso,charleston-southern,charleston-so
charlotte,charlotte,charlotte
chattanooga,chattanooga,chattanooga
cincinnati,cincinnati,cincinnati
citadel,citadel,citadel
clemson,clemson,clemson
colgate,colgate,colgate
colorado,colorado,colorado
colorado-st,colorado-st,colorado-st
uconn,connecticut,uconn
delaware,delaware,delaware
delawarest,delaware-st,delaware-st
duke,duke,duke
east-carolina,east-carolina,east-carolina
easternill,eastern-illinois,eastern-ill
easternky,eastern-kentucky,eastern-ky
eastern-mich,eastern-michigan,eastern-mich
easternwash,eastern-washington,eastern-wash
elon,elon,elon
florida,florida,florida
floridaam,florida-am,florida-am
fla-atlantic,florida-atlantic,fla-atlantic
fiu,florida-international,fiu
florida-st,florida-st,florida-st
fordham,fordham,fordham
fresno-st,fresno-st,fresno-st
furman,furman,furman
gardnerwebb,gardner-webb,gardner-webb
georgia,georgia,georgia
ga-southern,georgia-southern,ga-southern
georgia-st,georgia-st,georgia-st
georgia-tech,georgia-tech,georgia-tech
grambling,grambling-st,grambling
hampton,hampton,hampton
hawaii,hawaii,hawaii
houston,houston,houston
houstonbaptist,houston-baptist,houston-baptist
howard,howard,howard
idaho,idaho,idaho
idahost,idaho-st,idaho-st
illinois,illinois,illinois
illinoisst,illinois-st,illinois-st
incarnateword,incarnate-word,incarnate-word
indiana,indiana,indiana
indianast,indiana-st,indiana-st
iowa,iowa,iowa
iowa-st,iowa-st,iowa-st
jacksonst,jackson-st,jackson-st
jacksonvillest,jacksonville-st,jacksonville-st
jamesmadison,james-madison,james-madison
kansas,kansas,kansas
kansas-st,kansas-st,kansas-st
kent-st,kent-st,kent-st
kentucky,kentucky,kentucky
lafayette,lafayette,lafayette
lamar,lamar,lamar
liberty,liberty,liberty
la-lafayette,louisiana-lafayette,la-lafayette
la-monroe,louisiana-monroe,la-monroe
lsu,louisiana-st,lsu
louisiana-tech,louisiana-tech,louisiana-tech
louisville,louisville,louisville
maine,maine,maine
marshall,marshall,marshall
maryland,maryland,maryland
massachusetts,massachusetts,massachusetts
mcneesest,mcneese-st,mcneese-st
memphis,memphis,memphis
mercer,mercer,mercer
miami-fl,miami-(fl),miami-fl
miami-oh,miami-(oh),miami-oh
michigan,michigan,michigan
michigan-st,michigan-st,michigan-st
middle-tenn,middle-tennessee-st,middle-tenn
minnesota,minnesota,minnesota
ole-miss,mississippi,ole-miss
mississippi-st,mississippi-st,mississippi-st
mississippi-val,mississippi-valley-st,mississippi-val
missouri,missouri,missouri
missourist,missouri-st,missouri-st
monmouth,monmouth,monmouth
montanast,montana-st,montana-st
morganst,morgan-st,morgan-st
murrayst,murray-st,murray-st
navy,navy,navy
nebraska,nebraska,nebraska
nevada,nevada,nevada
unlv,nevada-las-vegas,unlv
new-hampshire,new-hampshire,new-hampshire
new-mexico,new-mexico,new-mexico
new-mexico-st,new-mexico-st,new-mexico-st
nichollsst,nicholls-st,nicholls-st
north-carolina,north-carolina,north-carolina
ncat,north-carolina-at,nc-at
north-carolina-central,north-carolina-central,nc-central
north-carolina-st,north-carolina-st,north-carolina-st
northdakota,north-dakota,north-dakota
northdakotast,north-dakota-st,north-dakota-st
north-texas,north-texas,north-texas
northernariz,northern-arizona,northern-ariz
northerncolo,northern-colorado,northern-colo
northern-ill,northern-illinois,northern-ill
uni,northern-iowa,uni
northwestern,northwestern,northwestern
northwesternst,northwestern-st,northwestern-st
notre-dame,notre-dame,notre-dame
ohio,ohio,ohio
ohio-st,ohio-st,ohio-st
oklahoma,oklahoma,oklahoma
oklahoma-st,oklahoma-st,oklahoma-st
old-dominion,old-dominion,old-dominion
oregon,oregon,oregon
oregon-st,oregon-st,oregon-st
penn-st,penn-st,penn-st
pittsburgh,pittsburgh,pittsburgh
portlandst,portland-st,portland-st
prairieview,prairie-view-am,prairie-view
presbyterian,presbyterian,presbyterian
purdue,purdue,purdue
rhodeisland,rhode-island,rhode-island
rice,rice,rice
richmond,richmond,richmond
rutgers,rutgers,rutgers
sacramentost,sacramento-st,sacramento-st
samford,samford,samford
san-diego-st,san-diego-st,san-diego-st
san-jose-st,san-jose-st,san-jose-st
savannahst,savannah-st,savannah-st
south-ala,south-alabama,south-ala
south-carolina,south-carolina,south-carolina
southcarolinast,south-carolina-st,south-carolina-st
southdakota,south-dakota,south-dakota
southdakotast,south-dakota-st,south-dakota-st
south-fla,south-florida,south-fla
southeastmost,southeast-missouri-st,southeast-mo-st
southeastern-la,southeastern-louisiana,southeastern-la
southernu,southern,southern-u
southern-california,southern-california,southern-california
southernill,southern-illinois,southern-ill
smu,southern-methodist,smu
southern-miss,southern-mississippi,southern-miss
southernutah,southern-utah,southern-utah
stanford,stanford,stanford
stephenfaustin,stephen-f.-austin,stephen-f-austin
stonybrook,stony-brook,stony-brook
syracuse,syracuse,syracuse
temple,temple,temple
tennessee,tennessee,tennessee
ut-martin,tennessee-martin,ut-martin
tennesseest,tennessee-st,tennessee-st
tennesseetech,tennessee-tech,tennessee-tech
texas,texas,texas
texas-am,texas-am,texas-am
tcu,texas-christian,tcu
utep,texas-el-paso,utep
utsa,texas-san-antonio,utsa
texas-st,texas-st,texas-st
texas-tech,texas-tech,texas-tech
toledo,toledo,toledo
towson,towson,towson
troy,troy,troy
tulane,tulane,tulane
tulsa,tulsa,tulsa
ucla,ucla,ucla
utah,utah,utah
utah-st,utah-st,utah-st
vanderbilt,vanderbilt,vanderbilt
villanova,villanova,villanova
virginia,virginia,virginia
vmi,virginia-military-institute,vmi
virginia-tech,virginia-tech,virginia-tech
wagner,wagner,wagner
wake-forest,wake-forest,wake-forest
washington,washington,washington
washington-st,washington-st,washington-st
weberst,weber-st,weber-st
west-virginia,west-virginia,west-virginia
westerncaro,western-carolina,western-caro
westernill,western-illinois,western-ill
western-ky,western-kentucky,western-ky
western-mich,western-michigan,western-mich
williammary,william--mary,william-mary
wisconsin,wisconsin,wisconsin
wofford,wofford,wofford
wyoming,wyoming,wyoming
youngstownst,youngstown-st,youngstown-st
